Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
02 January 2006,4566.95,4601.35,4542,4556.25,18711186,9443100000,13.97,2.4,1.41
03 January 2006,4531.45,4605.45,4531.45,4600.25,12127672,5572300000,14.11,2.43,1.4
04 January 2006,4619.55,4707.6,4616.05,4694.15,25290852,8382600000,14.4,2.48,1.37
05 January 2006,4714.2,4782.65,4670.55,4760.45,33755180,9609600000,14.6,2.51,1.35
06 January 2006,4767.25,4802.8,4703.1,4755.6,18837880,5432000000,14.59,2.51,1.35
09 January 2006,4758.1,4777.05,4676.1,4695.6,12860887,4681600000,14.4,2.48,1.37
10 January 2006,4698.8,4724.85,4617.6,4629.1,18880798,5868400000,14.2,2.44,1.39
12 January 2006,4629.65,4659,4592,4635.35,18262807,5658900000,14.22,2.45,1.39
13 January 2006,4634.25,4672.15,4589.45,4602.55,11555785,3878000000,14.12,2.43,1.4
16 January 2006,4602.95,4615.95,4533.8,4558.15,11354317,3959700000,13.98,2.4,1.41
17 January 2006,4556.35,4604.6,4491.9,4504.05,8803466,3211900000,13.81,2.38,1.43
18 January 2006,4442.8,4493.55,4385.65,4441.75,18435647,5749900000,13.62,2.34,1.45
19 January 2006,4447.65,4513.6,4447.65,4489,12815027,4494600000,13.77,2.37,1.43
20 January 2006,4550.8,4553.8,4490.9,4509.4,14985173,5018100000,13.83,2.38,1.43
23 January 2006,4510.85,4529.35,4462.15,4491.7,11705682,3655400000,13.78,2.37,1.43
24 January 2006,4494.85,4546.35,4484.2,4492.3,16193109,5487100000,13.78,2.37,1.43
25 January 2006,4493.2,4577.05,4477.3,4494.95,29611698,11092300000,13.85,2.38,1.42
27 January 2006,4564.05,4676.6,4564,4666.9,19500148,6767600000,14.38,2.47,1.37
30 January 2006,4574.05,4668.4,4566.3,4601.8,10961856,5015000000,14.18,2.44,1.39
31 January 2006,4629.05,4632.05,4595.45,4617.6,9754171,4182600000,14.23,2.45,1.39
01 February 2006,4622.3,4645.4,4469.55,4483.8,11681721,4251700000,13.82,2.38,1.43
02 February 2006,4542.15,4542.15,4426.85,4441.05,13196984,4935100000,13.68,2.35,1.44
